id,title,author,type,publishedYear,isbn,filename,postUrl,attachmentUrl
openBook11,Ο ζητιάνος,Ανδρέας Καρκαβίτσας (1865-1922),Νουβέλα,2019,,Ο ζητιάνος.pdf,https://www.openbook.gr/o-zitianos/,http://bit.ly/2qMB9XE
openBook12,Ο αρχαιολόγος,Ανδρέας Καρκαβίτσας (1865-1922),Νουβέλα,2019,,Ο αρχαιολόγος.pdf,https://www.openbook.gr/o-archaiologos/,http://bit.ly/2BJxpbJ
openBook13,"Τα παραμύθια μου, για μικρούς και μεγάλους",Κυριάκος Ταπακκούδης,Παραμύθι,2018,978-9963-2959-8-2,"Τα παραμύθια μου, για μικρούς και μεγάλους.pdf",https://www.openbook.gr/ta-paramythia-moy/,http://bit.ly/2PgMcCC
openBook14,Ο Ρόλος των Πατέρων στην Εξισορρόπηση της Επαγγελματικής και Οικογενειακής_Προσωπικής Ζωής,,Μελέτη,2007,978-960-89655-4-6,Ο Ρόλος των Πατέρων στην Εξισορρόπηση της Επαγγελματικής και Οικογενειακής/Προσωπικής Ζωής.pdf,https://www.openbook.gr/o-rolos-ton-pateron-stin-exisorropisi-tis-epaggelmatikis-kai-oikogeneiakis-prosopikis-zois/,http://bit.ly/32ARtbU
openBook15,Ελ Τζο – Οι θεοί του Γκραντ Κάνυον,,Κόμικ,2019,,Ελ Τζο – Οι θεοί του Γκραντ Κάνυον.pdf,https://www.openbook.gr/el-tzo-oi-theoi-tou-grand-canyon/,http://bit.ly/33W2lS1
openBook16,Αντιγραφή,Γιάννης Αντάμης,Αποσπάσματα,2019,,Αντιγραφή.pdf,https://www.openbook.gr/antigrafi/,http://bit.ly/35Vl423
openBook17,Σειρά εκθέσεων με εξειδικευμένα θέματα με αποδέκτες κέντρα λήψης αποφάσεων και άσκησης πολιτικής,,Μελέτη,2008,,Σειρά εκθέσεων με εξειδικευμένα θέματα με αποδέκτες κέντρα λήψης αποφάσεων και άσκησης πολιτικής.pdf,https://www.openbook.gr/seira-ektheseon-me-exeidikeymena-themata-me-apodektes-kentra-lipsis-apofaseon-kai-askisis-politikis/,http://bit.ly/32uweZn
openBook18,Θύμα ή Επιζώσα; Η Ρητορική Κατασκευή Ταυτοτήτων στη Συμβουλευτική για την Κακοποίηση Γυναικών,,Μελέτη,2001,,Θύμα ή Επιζώσα; Η Ρητορική Κατασκευή Ταυτοτήτων στη Συμβουλευτική για την Κακοποίηση Γυναικών.pdf,https://www.openbook.gr/thyma-i-epizosa/,http://bit.ly/2MS9Suk
openBook19,Το κέντρο της Αθήνας ως πολιτικό διακύβευμα,,Μελέτη,2013,978-960-6834-14-1,Το κέντρο της Αθήνας ως πολιτικό διακύβευμα.pdf,https://www.openbook.gr/to-kentro-tis-athinas-os-politiko-diakyveyma/,http://bit.ly/31ixcq8
openBook20,Είκοσι νουβέλες,"Λουίτζι Πιραντέλο (Luigi Pirandello, 1867-1936)",Νουβέλα,2019,,Είκοσι νουβέλες.pdf,https://www.openbook.gr/eikosi-nouveles/,http://bit.ly/2BcKLNl
openBook21,Tierra del ego,Γιάννης Αντάμης,Αποσπάσματα,2019,,Tierra del ego.pdf,https://www.openbook.gr/tierra-del-ego/,http://bit.ly/2nOW3nK
openBook22,,,,,,.pdf,https://www.openbook.gr/david-rumsey-maps/,
openBook23,,,,,,.pdf,https://www.openbook.gr/heart-creative-commons/,
openBook24,,,,,,.pdf,https://www.openbook.gr/open-access-greece/,
openBook25,,,,,,.pdf,https://www.openbook.gr/quantum/,
openBook26,,,,,,.pdf,https://www.openbook.gr/new-york-public-library/,
openBook27,Μια εύθραυστη εποχή,Κώστας Στοφόρος,Πεζογραφήματα,2017 (A’ έκδοση: 1984),978-618-81465-6-3,Μια εύθραυστη εποχή.pdf,https://www.openbook.gr/mia-eythraysti-epochi/,http://bit.ly/2EWjUFN
openBook28,Η κόρη του τοκογλύφου – Οι περιπέτειες του Σέρλοκ Χολμς,"Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)",Αστυνομική λογοτεχνία,2019,,Η κόρη του τοκογλύφου – Οι περιπέτειες του Σέρλοκ Χολμς.pdf,https://www.openbook.gr/i-kori-toy-tokoglyfoy/,http://bit.ly/2VuhJCb
openBook29,Η τιμή και το χρήμα,Κωνσταντίνος Θεοτόκης (1872 – 1923),Νουβέλα,2019,978-618-84176-8-7,Η τιμή και το χρήμα.pdf,https://www.openbook.gr/i-timi-kai-to-xrima/,http://bit.ly/2vHhGGR
openBook30,“Ο μικρός Τόμπραχ και άλλα διηγήματα”,"Ρίντυαρ Κίπλιγκ (Joseph Rudyard Kipling, 1865-1936)",Διήγημα,2018,,“Ο μικρός Τόμπραχ και άλλα διηγήματα”.pdf,https://www.openbook.gr/o-mikros-tombrach-kai-alla-diigimata/,http://bit.ly/2EVS38C
openBook31,Ευτυχισμένο κοιμάμενο νερό,Γιάννης Φαρσάρης,Θεατρικό έργο,2019,978-618-5444-00-6,Ευτυχισμένο κοιμάμενο νερό.pdf,https://www.openbook.gr/eytyxismeno-koimameno-nero/,http://bit.ly/2kF1GDD
openBook32,Ύψους Έγκατα,Νίκος Τερζής,,2010,,Ύψους Έγκατα.pdf,https://www.openbook.gr/ypsoys-egkata/,http://bit.ly/2Mfio7n
openBook33,Αναφορά στο Γιοφύρι της Άρτας,Φώτης Βράκας,Λαογραφία,2019,,Αναφορά στο Γιοφύρι της Άρτας.pdf,https://www.openbook.gr/anafora-sto-giofyri-tis-artas/,http://bit.ly/2nRuIS0
openBook34,"Λησμονημένη παράδοση, έθιμα και παιδικά παιχνίδια από τον Άγιο Σπυρίδωνα Άρτας",Φώτης Βράκας,Λαογραφία,2014,,"Λησμονημένη παράδοση, έθιμα και παιδικά παιχνίδια από τον Άγιο Σπυρίδωνα Άρτας.pdf",https://www.openbook.gr/lismonimeni-paradosi-ethima-kai-paidika-paichnidia-apo-ton-agio-spyridona-artas/,http://bit.ly/2MghJT4
openBook35,Εμείς οι ναυτικοί,Κυριάκος Ταπακκούδης,,2019,978-9963-2959-9-9,Εμείς οι ναυτικοί.pdf,https://www.openbook.gr/emeis-oi-naytikoi/,http://bit.ly/33yyqz5
openBook36,Παραμύθια της θάλασσας,Κυριάκος Ταπακκούδης,,2019,978-9925-7534-1-3,Παραμύθια της θάλασσας.pdf,https://www.openbook.gr/paramythia-tis-thalassas/,http://bit.ly/2pcM9wO
openBook37,Όταν οι τρελοί μιλούν,,Διήγημα,2018,,Όταν οι τρελοί μιλούν.pdf,https://www.openbook.gr/otan-oi-treloi-miloyn/,http://bit.ly/2q26uFd
openBook38,Η καταστρεπτική επίδραση της ποίησης,Σωτήρης Παστάκας,Συνεντεύξεις,2018,,Η καταστρεπτική επίδραση της ποίησης.pdf,https://www.openbook.gr/i-katastreptiki-epidrasi-tis-poiisis/,http://bit.ly/31bT5XW
openBook39,Επ7ά φωνές,,Ποίηση,2018,,Επ7ά φωνές.pdf,https://www.openbook.gr/epta-fones/,http://bit.ly/32dQdLF
openBook40,"H Μεταβυζαντινή Ελληνόφωνη Ποίηση και οι τάσεις της, τα τελευταία 50 χρόνια",Κώστας Σοφιανός,Δοκίμιο,2019,,"H Μεταβυζαντινή Ελληνόφωνη Ποίηση και οι τάσεις της, τα τελευταία 50 χρόνια.pdf",https://www.openbook.gr/h-metavyzantini-ellinofoni-poiisi/,http://bit.ly/35qJyzH
openBook41,Εφτά σημειώσεις για την ποίηση,Μιχάλης Πιερής,Δοκίμιο,2018,,Εφτά σημειώσεις για την ποίηση.pdf,https://www.openbook.gr/efta-simeioseis-gia-tin-poiisi/,http://bit.ly/2Mao4PT
openBook42,Τραγούδια από τα βράχια του Καυκάσου,Ξενοφών Μακρόπουλος,,2011,,Τραγούδια από τα βράχια του Καυκάσου.pdf,https://www.openbook.gr/tragoydia-apo-ta-vrachia-toy-kaykasoy/,http://bit.ly/2OIJIfU
openBook43,Το μεγάλο τίποτα,Ευθύμιος-Ραφαήλ Αγγελής,,2019,978-618-84539-4-4,Το μεγάλο τίποτα.pdf,https://www.openbook.gr/to-megalo-tipota/,http://bit.ly/2phzwR6
openBook44,Ο πειρατής του Ταμέσεως – Οι περιπέτειες του Σέρλοκ Χολμς,"Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)",Αστυνομική λογοτεχνία,2019,,Ο πειρατής του Ταμέσεως – Οι περιπέτειες του Σέρλοκ Χολμς.pdf,https://www.openbook.gr/o-peiratis-toy-tameseos/,http://bit.ly/2p8N558
openBook45,Η νεκρανάστασις του Σέρλοκ Χολμς – Οι περιπέτειες του Σέρλοκ Χολμς,"Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)",Αστυνομική λογοτεχνία,2019,,Η νεκρανάστασις του Σέρλοκ Χολμς – Οι περιπέτειες του Σέρλοκ Χολμς.pdf,https://www.openbook.gr/i-nekranastasis-toy-sherlock-holmes/,http://bit.ly/2OzVSaZ
openBook46,Η κόρη του τοκογλύφου – Οι περιπέτειες του Σέρλοκ Χολμς,"Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)",Αστυνομική λογοτεχνία,2019,,Η κόρη του τοκογλύφου – Οι περιπέτειες του Σέρλοκ Χολμς.pdf,https://www.openbook.gr/i-kori-toy-tokoglyfoy/,http://bit.ly/2VuhJCb
openBook47,Η κυρία με το γαλάζιο διαμάντι – Οι περιπέτειες του Σέρλοκ Χολμς,"Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)",Αστυνομική λογοτεχνία,2019,,Η κυρία με το γαλάζιο διαμάντι – Οι περιπέτειες του Σέρλοκ Χολμς.pdf,https://www.openbook.gr/i-kyria-me-to-galazio-diamanti/,http://bit.ly/2ODtKDK
openBook48,Περί του κόσμου,Πύρρων Ηλειόπουλος,Μυθιστόρημα,2019,978-618-00-1514-0,Περί του κόσμου.pdf,https://www.openbook.gr/peri-tou-kosmou/,http://bit.ly/31ZBjZk
openBook49,Ποιήματα,Ελένη Λιντζαροπούλου,Ποίηση,2016,,Ποιήματα.pdf,https://www.openbook.gr/poems-eleni-lintzaropoulou/,http://bit.ly/2Owpki0
openBook50,Με γράφουν στην ταυτότητα Σταύρο Καραμανιώλα,Σταύρος Καραμανιώλας,Ποίηση,2011,978-960-93-2496-0,Με γράφουν στην ταυτότητα Σταύρο Καραμανιώλα.pdf,https://www.openbook.gr/me-grafoun-stin-taytotita-stayro-karamaniwla/,http://bit.ly/30M371S
openBook51,Mine,Paul Cendrier,Ποίηση,2019,978-0-244-52241-4,Mine.pdf,https://www.openbook.gr/mine/,http://bit.ly/2MbIdEi
openBook52,,,,,,.pdf,https://www.openbook.gr/schooligans/,
openBook53,,Ντενί Ντιντερό και ο μαθηματικός και φιλόσοφος Ζαν λε Ρον Ντ’Αλαμπέρ.,,,,.pdf,https://www.openbook.gr/egkyklopaideia-tou-diafwtismou/,
openBook54,,"πρέπει να είναι σε θέση να αποκομίζει τους καρπούς της διανοητικής εργασίας του, το ευρύ κοινό δεν πρέπει να στερείται για υπερβολικά μεγάλο χρονικό διάστημα τα πλεονεκτήματα της ελεύθερης χρήσης αυτών των έργων.",,,,.pdf,https://www.openbook.gr/public-domain-manifesto/,http://bit.ly/2DIr5Tk
openBook55,,,,,,.pdf,https://www.openbook.gr/ellak-video/,
openBook56,,,,,,.pdf,https://www.openbook.gr/guggenheim/,
openBook57,Ένας γάμος και άλλα διηγήματα,"Εμίλ Ζολά (Émile Zola, 1840-1902)",Διήγημα,2019,,Ένας γάμος και άλλα διηγήματα.pdf,https://www.openbook.gr/enas-gamos/,http://bit.ly/2FwwnCc
openBook58,Μάγκας,Πηνελόπη Δέλτα (1874-1941),Εφηβικό μυθιστόρημα,2019,978-618-84176-3-2,Μάγκας.pdf,https://www.openbook.gr/magkas/,http://bit.ly/2tJZhbq
openBook59,#Tweet_Stories,,Μικροδιηγήματα,2012,978-960-99990-4-5,#Tweet_Stories.pdf,https://www.openbook.gr/tweet-stories/,http://bit.ly/2sNfiyU
openBook60,Μια εύθραυστη εποχή,Κώστας Στοφόρος,Πεζογραφήματα,2017 (A’ έκδοση: 1984),978-618-81465-6-3,Μια εύθραυστη εποχή.pdf,https://www.openbook.gr/mia-eythraysti-epochi/,http://bit.ly/2EWjUFN
openBook61,Χαμένος στο Αρχείο,,Κόμικ / Εκπαιδευτικό υλικό,2010,978-960-9475-013,Χαμένος στο Αρχείο.pdf,https://www.openbook.gr/xamenos-sto-arxeio/,http://bit.ly/2mZIphi
openBook62,Ο Αναβάτης,Ευθύμιος-Ραφαήλ Αγγελής,Ποίηση,2019,978-618-84539-4-4,Ο Αναβάτης.pdf,https://www.openbook.gr/o-anavatis/,http://bit.ly/2nIJ5rz
openBook63,Μελέτες (2004-2017),Ευάγγελος Ι. Τζάνος,Δοκίμιο,2019,978-618-00-1413-6,Μελέτες (2004-2017).pdf,https://www.openbook.gr/meletes-2004-2017/,http://bit.ly/2mQ96VF
openBook64,Φιλοσοποιήματα (2),Σαράντης Σαραντόπουλος,Ποίηση,2015,,Φιλοσοποιήματα (2).pdf,https://www.openbook.gr/filosopoiimata-2/,http://bit.ly/2nZIvFG
openBook65,Φιλοσοποιήματα (1),Σαράντης Σαραντόπουλος,Ποίηση,2015,,Φιλοσοποιήματα (1).pdf,https://www.openbook.gr/filosopoiimata-1/,http://bit.ly/2myDZO1
openBook66,Το μαγικό μας καπέλο,Γιώργος Μαυροειδής,Παιδική λογοτεχνία,2012,,Το μαγικό μας καπέλο.pdf,https://www.openbook.gr/to-magiko-mas-kapelo/,http://bit.ly/2lSFCpx
openBook67,Κείμενα νεοελληνικού λόγου,Χρήστος Τζούλης,Σύγγραμμα,1993,,Κείμενα νεοελληνικού λόγου.pdf,https://www.openbook.gr/keimena-neoellinikou-logou/,http://bit.ly/2mJf6Pr
openBook68,Ο Βίος του Αισώπου – Η παραλλαγή G,Μανόλης Παπαθωμόπουλος,Σύγγραμμα,1990,960-220-031-6,Ο Βίος του Αισώπου – Η παραλλαγή G.pdf,https://www.openbook.gr/o-vios-tou-aiswpou/,http://bit.ly/2mkFij4
openBook69,"Εσωστρέφεια και εξωστρέφεια στα διηγήματα των Παπαμάρκου, Πέτσα, Οικονόμου, Παλαβού, Carver, Keret",Άγγελος Μουταφίδης,Διπλωματική εργασία,2018,,"Εσωστρέφεια και εξωστρέφεια στα διηγήματα των Παπαμάρκου, Πέτσα, Οικονόμου, Παλαβού, Carver, Keret.pdf",https://www.openbook.gr/eswstrefeia-kai-exwstrefeia-sta-diigimata/,http://bit.ly/2kXOwS3
openBook70,Τάξη και Κόμμα,,Δοκίμιο,2011,,Τάξη και Κόμμα.pdf,https://www.openbook.gr/taxi-kai-komma/,http://bit.ly/2kYyEin
openBook71,Τέσσερα μονόπρακτα,"Λουίτζι Πιραντέλο (Luigi Pirandello, 1867-1936)",Θεατρικό έργο,2011,,Τέσσερα μονόπρακτα.pdf,https://www.openbook.gr/luigi-pirandello-tessera-monoprakta/,http://bit.ly/2kvSaCH
openBook72,Διηγήματα (επιλογή),"Τζοβάνι Βέργκα (Giovanni Verga, 1840-1922)",Διήγημα,2014,,Διηγήματα (επιλογή).pdf,https://www.openbook.gr/giovanni-verga-diigimata/,http://bit.ly/2kLL7WG
openBook73,"Επόμενη στάση παρακαλώ, μυαλό…",Βασίλειος Κάππας,Στοχασμοί,2019,978-618-84542-6-2,"Επόμενη στάση παρακαλώ, μυαλό….pdf",https://www.openbook.gr/epomeni-stasi-parakalw-myalo/,http://bit.ly/2m7uEMv
openBook74,Ισορροπία στα σκαλιά του ουρανού,Βασίλειος Κάππας,Στοχασμοί,2019,978-618-84542-5-5,Ισορροπία στα σκαλιά του ουρανού.pdf,https://www.openbook.gr/isorropia-sta-skalia-tou-ouranou/,http://bit.ly/2kJWIpe
openBook75,Τζακ ο αντεροβγάλτης – Οι περιπέτειες του Σέρλοκ Χολμς,"Άρθουρ Κόναν Ντόυλ (Arthur Conan Doyle, 1859–1930)",Αστυνομική λογοτεχνία,2019,,Τζακ ο αντεροβγάλτης – Οι περιπέτειες του Σέρλοκ Χολμς.pdf,https://www.openbook.gr/jack-o-anterovgaltis/,http://bit.ly/2ou6Vrq
openBook76,Ένα τρυφερό ερωτικό ειδύλλιο του Γκυ Ντε Μωπασσάν,,,2019,,Ένα τρυφερό ερωτικό ειδύλλιο του Γκυ Ντε Μωπασσάν.pdf,https://www.openbook.gr/ena-tryfero-erwtiko-eidyllio-tou-guy-de-maupassant/,http://bit.ly/2Im3BWd
openBook77,,,,,,.pdf,https://www.openbook.gr/anastasi/,
openBook78,Η αρετή της Κεκίνας,"Ματίλντε Σεράο (Matilde Serao, 1856-1927)",Νουβέλα,2013,,Η αρετή της Κεκίνας.pdf,https://www.openbook.gr/i-areti-tis-kekinas/,http://bit.ly/2kSEUbd
openBook79,Ή τον Τζοβανίνο ή το θάνατο,"Ματίλντε Σεράο (Matilde Serao, 1856-1927)",Νουβέλα,2012,,Ή τον Τζοβανίνο ή το θάνατο.pdf,https://www.openbook.gr/h-ton-jovanino-h-to-thanato/,http://bit.ly/2kPPH67
openBook80,Ιταλικός και Ρωσικός Λογοτεχνικός Φουτουρισμός: Συγκλίσεις και αποκλίσεις,Χρίστος Αλεξανδρίδης,Δοκίμιο,2011,,Ιταλικός και Ρωσικός Λογοτεχνικός Φουτουρισμός: Συγκλίσεις και αποκλίσεις.pdf,https://www.openbook.gr/italikos-kai-rwsikos-logotexnikos-foutourismos/,http://bit.ly/2kSD9e7
openBook81,Ένα μέτρο μακριά από το χρήμα,Βασίλειος Κάππας,Στοχασμοί,2019,978-618-84542-4-8,Ένα μέτρο μακριά από το χρήμα.pdf,https://www.openbook.gr/ena-metro-makria-apo-to-xrima/,http://bit.ly/2mnVkZK
openBook82,,,,,,.pdf,https://www.openbook.gr/ilbibliomotocarro/,
openBook83,,,,,,.pdf,https://www.openbook.gr/all-books-are-free/,
openBook84,,,,,,.pdf,https://www.openbook.gr/fosscomm-2018/,
openBook85,,,,,,.pdf,https://www.openbook.gr/neoellinika-anagnwsmata/,
openBook86,,,,,,.pdf,https://www.openbook.gr/wordpress-tattoo/,
openBook87,Φωλέα ευγενών,"Ιβάν Τουργκένιεφ (Ivan Turgenev, 1818-1883)",Μυθιστόρημα,2019,,Φωλέα ευγενών.pdf,https://www.openbook.gr/fwlea-eygenwn/,http://bit.ly/2LOc9Y8
openBook88,Είμαι πάντα χαρούμενος όταν διαμαρτύρομαι – 70 αποφθέγματα,Richard Stallman,,2019,978-618-84176-1-8,Είμαι πάντα χαρούμενος όταν διαμαρτύρομαι – 70 αποφθέγματα.pdf,https://www.openbook.gr/eimai-panta-xaroumenos-otan-diamartyromai/,http://bit.ly/2Boqm8y
openBook89,40 ποιήματα και 3 πεζά,Τέλλος Άγρας (1899 – 1944),Ποίηση,2018,,40 ποιήματα και 3 πεζά.pdf,https://www.openbook.gr/tellos-agras/,http://bit.ly/2lWeT7u
openBook90,12/12/12,,,2012,978-960-99990-2-1,12_12_12.pdf,https://www.openbook.gr/12-12-12/,http://bit.ly/2tnnkM1
openBook91,Έξι διηγήματα,"Γκυ ντε Μωπασάν (Guy de Maupassant, 1850-1893)",Διήγημα,2009,,Έξι διηγήματα.pdf,https://www.openbook.gr/guy-de-maupassant-exi-diigimata/,http://bit.ly/2lXWJWF
openBook92,Σύγχρονα Ιταλικά διηγήματα,,Διήγημα,2010,,Σύγχρονα Ιταλικά διηγήματα.pdf,https://www.openbook.gr/sygxrona-italika-digimata/,http://bit.ly/2mmBQom
openBook93,Οι νουβέλες της Πεσκάρας,"Γκαμπριέλε Ντ’ Ανούντσιο (Gabriele D’Annunzio, 1863-1938)",Διήγημα,2016,,Οι νουβέλες της Πεσκάρας.pdf,https://www.openbook.gr/oi-nouveles-tis-peskaras/,http://bit.ly/2kSQV0v
openBook94,Μια ιστορία μαντείας,"Λευκάδιος Χερν (Lafcadio Hearn, 1850-1904)",Διήγημα,2012,,Μια ιστορία μαντείας.pdf,https://www.openbook.gr/mia-istoria-manteias/,http://bit.ly/2mnqVLD
openBook95,Επιλογή από τα ποιήματα,Σάντρο Πένα (Sandro Penna),Ποίηση,2011,,Επιλογή από τα ποιήματα.pdf,https://www.openbook.gr/sandro-penna-epilogi-apo-ta-poiimata/,http://bit.ly/2kLFVlG
openBook96,Η λυκοπαγίδα,Βαγγέλης Παπαδιόχος,Θεατρικό έργο,2019,,Η λυκοπαγίδα.pdf,https://www.openbook.gr/lykopagida/,http://bit.ly/2nFPIuh
openBook97,Τρία αιρετικά ποιήματα κι ένα ακόμη,Πιερ Πάολο Παζολίνι (Pier Paolo Pasolini),Ποίηση,2012,,Τρία αιρετικά ποιήματα κι ένα ακόμη.pdf,https://www.openbook.gr/tria-airetika-poiimata-ki-ena-akomi/,http://bit.ly/2kLCUSo
openBook98,Κοιτάζοντας προς τα μέσα,Βασίλειος Κάππας,Στοχασμοί,2019,978-618-84542-3-1,Κοιτάζοντας προς τα μέσα.pdf,https://www.openbook.gr/koitazontas-pros-ta-mesa/,http://bit.ly/2m14ElV
openBook99,Ο ήλιος της σκιάς μου,Βασίλειος Κάππας,Ποίηση,2019,978-618-84542-2-4,Ο ήλιος της σκιάς μου.pdf,https://www.openbook.gr/o-ilios-tis-skias-mou/,http://bit.ly/2lUguhM
openBook100,Μέλη με μέλι,Βασίλειος Κάππας,Ποίηση,2019,978-618-84542-1-7,Μέλη με μέλι.pdf,https://www.openbook.gr/melh-me-meli/,http://bit.ly/2mlZVM3
openBook101,Οι τριάκοντα,Αλέξανδρος Ρίζος Ραγκαβής (1809-1892),Θεατρικό έργο,1867,,Οι τριάκοντα.pdf,https://www.openbook.gr/oi-triakonta/,http://bit.ly/2lV4Zqe
openBook102,Διονύσου πλους,Αλέξανδρος Ρίζος Ραγκαβής (1809-1892),Διήγημα,1864,,Διονύσου πλους.pdf,https://www.openbook.gr/dionysou-plous/,http://bit.ly/2mfrG8R
openBook103,Λογοτεχνία του Facebook,Ευστράτιος Παπάνης,Σύγγραμμα,2013,978-960-08-0645-8,Λογοτεχνία του Facebook.pdf,https://www.openbook.gr/logotexnia-tou-facebook/,http://bit.ly/2lWLVrF
openBook104,Ο θαμπωμένος καθρέφτης του εαυτού μας,Ευστράτιος Παπάνης,Σύγγραμμα,2011,978-960-08-0646-5,Ο θαμπωμένος καθρέφτης του εαυτού μας.pdf,https://www.openbook.gr/o-thampwmenos-kathreftis-tou-eaytou-mas/,http://bit.ly/2kBXjt1
openBook105,Η αυτοεκτίμηση – Θεωρία και αξιολόγηση,Ευστράτιος Παπάνης,Σύγγραμμα,2011,978-960-08-0516-1,Η αυτοεκτίμηση – Θεωρία και αξιολόγηση.pdf,https://www.openbook.gr/i-aytoektimisi/,http://bit.ly/2kAQoAi
openBook106,Αρμίνιος και Δωροθέα,"Γιόχαν Βόλφγκανγκ Γκαίτε (Johann Wolfgang Goethe, 1749-1832)",Επικό ποίημα,1889,,Αρμίνιος και Δωροθέα.pdf,https://www.openbook.gr/arminios-kai-dwrothea/,http://bit.ly/2lQBfee
openBook107,"Θεατρική βιβλιοθήκη, ήτοι, συλλογή των εκλεκτοτέρων τραγωδιών, δραμάτων και κωμωδιών",,Θεατρικό έργο,1882,,"Θεατρική βιβλιοθήκη, ήτοι, συλλογή των εκλεκτοτέρων τραγωδιών, δραμάτων και κωμωδιών.pdf",https://www.openbook.gr/theatriki-vivliothiki/,http://bit.ly/2lVr485
openBook108,Ρόδα και μήλα,Γιάννης Ψυχάρης (1854-1929),Μυθιστόρημα,1902,,Ρόδα και μήλα.pdf,https://www.openbook.gr/roda-kai-mila/,http://bit.ly/2lQnMmR
openBook109,Η εκθρόνισις,Θεόδωρος Ι. Κολοκοτρώνης (1829-1894),Μυθιστόρημα,1862,,Η εκθρόνισις.pdf,https://www.openbook.gr/i-ekthronisis/,http://bit.ly/2mcFqkI
openBook110,Όταν ήμουν αστυνομικός ρεπόρτερ,Ανδρέας Τσαμόπουλος,Διήγημα,1925,,Όταν ήμουν αστυνομικός ρεπόρτερ.pdf,https://www.openbook.gr/otan-imoun-astynomikos-reporter/,http://bit.ly/2mgsz14
openBook111,Ράβδοι πλαστελίνης,Ιωάννα Πιτσιλλή,Ποίηση,2019,,Ράβδοι πλαστελίνης.pdf,https://www.openbook.gr/ravdoi-plastelinis/,http://bit.ly/2khcOGx
openBook112,,,,,,.pdf,https://www.openbook.gr/bookcrossing-books/,
openBook113,,,,,,.pdf,https://www.openbook.gr/moodle-editathon/,
openBook114,6 τρόποι να μοιραστείτε το έργο σας,,Οδηγός,2014,,6 τρόποι να μοιραστείτε το έργο σας.pdf,https://www.openbook.gr/6-tropoi-na-moirasteite-to-ergo-sas/,http://bit.ly/2qJT12S
openBook115,,,,,,.pdf,https://www.openbook.gr/blod/,
openBook116,,,,,,.pdf,https://www.openbook.gr/3-nea-theatrika-erga-toy-thanasi-triaridi/,
openBook117,Το λαμπρό αμάξι,Ζαχαρίας Παπαντωνίου (1877-1940),Διήγημα,2018,,Το λαμπρό αμάξι.pdf,https://www.openbook.gr/to-lampro-amaxi/,http://bit.ly/2P9OLmh
